"participant_virtual_id","time","PM2.5","PM10","PM1.0","Température","Humidité","NO2","BC","activity","event"
"9999944","2019-10-19 12:57:00+00","1","1","0","26.7","41.2","8","261","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 12:58:00+00","1","1","0","26.6","40.7","14","263","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 12:59:00+00","1","1","0","26.7","41.1","9","281","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 13:00:00+00","0","0","0","26.6","40.1","8","297","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 13:01:00+00","0","0","0","26.6","40.5","10","280","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 13:02:00+00","1","1","0","26.6","39.6","9","320","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 13:03:00+00","0","0","0","26.5","39.9","10","364","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 13:04:00+00","0","0","0","26.5","39.3","8","303","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 13:05:00+00","0","0","0","26.5","39.3","13","357","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 13:06:00+00","0","0","0","26.6","39.4","9","354","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 13:07:00+00","0","0","0","26.6","39.1","17","363","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 13:08:00+00","0","1","0","26.6","39.4","10","403","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 13:09:00+00","0","1","0","26.6","40.5","17","398","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 13:10:00+00","0","0","0","26.5","40.2","32","401","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 13:11:00+00","1","1","0","26.5","39.9","4","370","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 13:12:00+00","0","1","0","26.6","39.8","5","341","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 13:13:00+00","0","0","0","26.6","39.9","9","357","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 13:14:00+00","0","1","0","26.7","39.3","10","326","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 13:15:00+00","1","1","0","26.6","39.6","17","356","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 13:16:00+00","1","1","0","26.6","39.3","4","330","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 13:17:00+00","0","0","0","26.6","39.3","9","387","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 13:18:00+00","0","1","0","26.6","39.4","17","1543","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 13:19:00+00","0","0","0","26.7","38.6","6",NULL,"Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 13:20:00+00","0","0","0","26.7","38.4","7","122","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 13:21:00+00","0","0","0","26.6","38.2","7","88","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 13:22:00+00","0","0","0","26.7","38.7","19","172","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 13:23:00+00","0","0","0","26.7","38.5","8","206","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 13:24:00+00","0","0","0","26.7","38.3","13","273","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 13:25:00+00","0","0","0","26.7","41.1","15","1907","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 13:26:00+00","0","1","0","26.8","39","5","288","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 13:27:00+00","0","0","0","26.8","49.6","36","279","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 13:28:00+00","0","0","0","27","41.7","29","9990","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 13:29:00+00","0","0","0","27.1","40.4","1","7033","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 13:30:00+00","0","0","0","27.2","39.3","7","125","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 13:31:00+00","0","0","0","27.3","38.4","1","-41","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 13:32:00+00","0","0","0","27.3","42.5","18","392","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 13:33:00+00","0","0","0","27.4","37.8","0","-24","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 13:34:00+00","0","1","0","27.5","37.1","1","2869","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 13:35:00+00","0","0","0","27.5","37.2","0","415","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 13:36:00+00","0","0","0","27.5","37.3","0","57","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 13:37:00+00","0","0","0","27.6","36.9","0","103","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 13:38:00+00","0","1","0","27.5","36.3","0","129","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 13:39:00+00","0","0","0","27.4","36.1","0","144","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 13:40:00+00","0","0","0","27.5","35.7","0","153","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 13:41:00+00","0","0","0","27.4","35.3","0","207","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 13:42:00+00","0","0","0","27.4","35.1","0","136","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 13:43:00+00","0","0","0","27.4","34.6","0","193","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 13:44:00+00","0","0","0","27.3","34.6","0","188","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 13:45:00+00","0","0","0","27.3","34.4","4","266","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 13:46:00+00","0","0","0","27.4","34.5","1","267","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 13:47:00+00","0","0","0","27.4","34.8","5","172","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 13:48:00+00","1","1","0","27.3","35.1","5","222","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 13:49:00+00","0","0","0","27.4","35","2","204","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 13:50:00+00","0","1","0","27.4","34.7","5","330","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 13:51:00+00","0","1","0","27.4","34.8","5","360","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 13:52:00+00","0","0","0","27.4","34.3","1","225","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 13:53:00+00","0","1","0","27.4","34.8","9","302","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 13:54:00+00","0","0","0","27.4","34.8","3","279","Domicile","Fermeture De Fenêtre"
